
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       804
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1801           0.0.0.0:0              LISTENING       3772
  TCP    0.0.0.0:2103           0.0.0.0:0              LISTENING       3772
  TCP    0.0.0.0:2105           0.0.0.0:0              LISTENING       3772
  TCP    0.0.0.0:2107           0.0.0.0:0              LISTENING       3772
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       8428
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       768
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       6072
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       816
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       736
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1532
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1340
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2032
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3272
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       3772
  TCP    0.0.0.0:49675          0.0.0.0:0              LISTENING       808
  TCP    127.0.0.1:3213         0.0.0.0:0              LISTENING       3732
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       3564
  TCP    127.0.0.1:6463         0.0.0.0:0              LISTENING       12456
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       6072
  TCP    127.0.0.1:49672        0.0.0.0:0              LISTENING       3616
  TCP    127.0.0.1:49720        0.0.0.0:0              LISTENING       8868
  TCP    127.0.0.1:60387        127.0.0.1:65001        ESTABLISHED     3660
  TCP    127.0.0.1:64356        0.0.0.0:0              LISTENING       18516
  TCP    127.0.0.1:64360        127.0.0.1:64361        ESTABLISHED     18516
  TCP    127.0.0.1:64361        127.0.0.1:64360        ESTABLISHED     18516
  TCP    127.0.0.1:64368        0.0.0.0:0              LISTENING       18516
  TCP    127.0.0.1:64378        127.0.0.1:64379        ESTABLISHED     18864
  TCP    127.0.0.1:64379        127.0.0.1:64378        ESTABLISHED     18864
  TCP    127.0.0.1:64380        127.0.0.1:64381        ESTABLISHED     18864
  TCP    127.0.0.1:64381        127.0.0.1:64380        ESTABLISHED     18864
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       3660
  TCP    127.0.0.1:65001        127.0.0.1:60387        ESTABLISHED     3660
  TCP    192.168.1.73:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.1.73:53048     162.254.193.102:27028  ESTABLISHED     6072
  TCP    192.168.1.73:53054     40.83.247.108:443      ESTABLISHED     3996
  TCP    192.168.1.73:54484     142.250.123.188:443    ESTABLISHED     11900
  TCP    192.168.1.73:62328     162.159.135.234:443    ESTABLISHED     13024
  TCP    192.168.1.73:64338     184.30.42.141:443      CLOSE_WAIT      13188
  TCP    192.168.1.73:64450     3.131.17.216:443       TIME_WAIT       0
  TCP    192.168.1.73:64451     108.159.227.104:443    ESTABLISHED     5500
  TCP    192.168.1.73:64455     108.156.120.17:443     ESTABLISHED     5500
