
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:80             0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       996
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:1801           0.0.0.0:0              LISTENING       4116
  TCP    0.0.0.0:2103           0.0.0.0:0              LISTENING       4116
  TCP    0.0.0.0:2105           0.0.0.0:0              LISTENING       4116
  TCP    0.0.0.0:2107           0.0.0.0:0              LISTENING       4116
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       8896
  TCP    0.0.0.0:5985           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:27036          0.0.0.0:0              LISTENING       14836
  TCP    0.0.0.0:47001          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       820
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       740
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1484
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       1440
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       2032
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3176
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       4116
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       812
  TCP    127.0.0.1:3213         0.0.0.0:0              LISTENING       3916
  TCP    127.0.0.1:5354         0.0.0.0:0              LISTENING       3528
  TCP    127.0.0.1:27060        0.0.0.0:0              LISTENING       14836
  TCP    127.0.0.1:27060        127.0.0.1:55897        ESTABLISHED     14836
  TCP    127.0.0.1:49671        0.0.0.0:0              LISTENING       3588
  TCP    127.0.0.1:49735        0.0.0.0:0              LISTENING       8732
  TCP    127.0.0.1:55897        127.0.0.1:27060        ESTABLISHED     19268
  TCP    127.0.0.1:56407        127.0.0.1:56408        ESTABLISHED     14304
  TCP    127.0.0.1:56408        127.0.0.1:56407        ESTABLISHED     14304
  TCP    127.0.0.1:56415        0.0.0.0:0              LISTENING       14304
  TCP    127.0.0.1:56424        127.0.0.1:56425        ESTABLISHED     15740
  TCP    127.0.0.1:56425        127.0.0.1:56424        ESTABLISHED     15740
  TCP    127.0.0.1:56426        127.0.0.1:56427        ESTABLISHED     15740
  TCP    127.0.0.1:56427        127.0.0.1:56426        ESTABLISHED     15740
  TCP    127.0.0.1:64084        127.0.0.1:65001        ESTABLISHED     14992
  TCP    127.0.0.1:65001        0.0.0.0:0              LISTENING       14992
  TCP    127.0.0.1:65001        127.0.0.1:64084        ESTABLISHED     14992
  TCP    192.168.1.73:139       0.0.0.0:0              LISTENING       4
  TCP    192.168.1.73:54958     52.154.245.177:443     CLOSE_WAIT      10040
  TCP    192.168.1.73:55171     162.254.193.102:443    ESTABLISHED     14836
  TCP    192.168.1.73:56275     40.71.11.167:443       ESTABLISHED     17216
  TCP    192.168.1.73:56467     140.82.113.3:443       TIME_WAIT       0
  TCP    192.168.1.73:56478     207.241.237.8:443      ESTABLISHED     14444
  TCP    192.168.1.73:56480     142.250.11.113:443     ESTABLISHED     10376
  TCP    192.168.1.73:56481     13.89.179.12:443       TIME_WAIT       0
  TCP    192.168.1.73:56483     13.68.233.9:443        ESTABLISHED     8352
  TCP    192.168.1.73:56484     173.194.209.93:443     ESTABLISHED     14444
  TCP    192.168.1.73:56487     184.86.252.188:443     ESTABLISHED     3916
  TCP    192.168.1.73:56490     104.18.13.173:443      ESTABLISHED     14444
  TCP    192.168.1.73:56491     135.181.181.204:443    CLOSE_WAIT      14444
  TCP    192.168.1.73:56494     34.117.59.81:80        TIME_WAIT       0
  TCP    192.168.1.73:64103     104.18.13.173:443      ESTABLISHED     14444
  TCP    192.168.1.73:64115     142.250.11.188:443     ESTABLISHED     14444
  TCP    192.168.1.73:64133     13.64.180.106:443      ESTABLISHED     3892
  TCP    [::]:80                [::]:0                 LISTENING       4
  TCP    [::]:135               [::]:0                 LISTENING       996
  TCP    [::]:445               [::]:0                 LISTENING       4
  TCP    [::]:1801              [::]:0                 LISTENING       4116
